"Date";"Open";"Close";"High";"Low";"Stochastic Oscillator";"RSI Move";"Target";"Wiki_Move";"Wiki_MA3_Move";"Wiki_EMA5_Move";"Wiki_RSI_Move";"Wiki_5day_Disparity";"Wiki_5day_Disparity_Move";"Wiki_3day_Disparity";"Google_EMA5_Move";"Google_MA_6";"Google_Move";"Google_3day_Disparity_Move";"Google_RSI_Move";"Google_ROC_Move"
2015-12-14;112,180361983214;108,679771;112,679894701105;109,789948164911;-11,0247394363685;0;"0";"1";"1";"1";"1";1,04641751963818;"1";1,06561085972851;"0";0,833333333333333;"0";"0";"0";"NaN"
2015-12-15;111,939763123229;106,756989;112,799693632142;110,350341002821;-30,1191427559002;0;"0";"1";"1";"1";"1";1,20632317434285;"1";1,17081798084009;"0";0,833333333333333;"0";"0";"0";"NaN"
2015-12-16;111,070171491474;107,57827;111,990007280223;108,799568441515;-11,0422299301952;1;"1";"0";"0";"0";"0";0,895577852099591;"0";0,853852967227635;"0";0,666666666666667;"0";"NaN";"0";"NaN"
2015-12-17;112,019967817426;105,298019;112,249926780833;108,98025815827;-31,65885808975;0;"0";"0";"0";"0";"0";0,868658131816027;"0";0,857677902621723;"1";0,666666666666667;"1";"NaN";"1";"1"
2015-12-18;108,909710232667;102,44767;109,520357483923;105,810095704141;-23,9323246533502;0;"0";"0";"0";"0";"0";0,776403612092658;"0";0,888431299138899;"1";0,666666666666667;"0";"0";"0";"0"
2015-12-21;107,279722614242;103,703766;107,369580529627;105,569523579493;-13,0561150370814;1;"1";"1";"0";"0";"1";0,905503740903966;"1";1,02316155182397;"0";0,5;"0";"0";"0";"NaN"
2015-12-22;107,399542962104;103,607155;107,72032608714;106,449754372011;-13,7321751767864;0;"0";"0";"0";"0";"0";0,973150560779427;"1";1,01716992303138;"1";0,666666666666667;"1";"1";"1";"NaN"
2015-12-23;107,270047043145;104,940506;108,849806970686;107,200479633492;-4,40171111642297;1;"1";"0";"0";"0";"0";0,848977135980746;"0";0,864583333333333;"0";0,666666666666667;"0";"0";"0";"NaN"
2015-12-24;108,999582743975;104,380112;108,999582743975;107,950274193745;-8,32321121402918;0;"0";"0";"0";"0";"0";0,862289218191109;"1";0,904219691895512;"0";0,666666666666667;"0";"0";"1";"NaN"
2015-12-28;107,589881676166;103,210999;107,69036795117;106,180175183552;-18,1002377971325;0;"0";"1";"0";"1";"1";1,02444147412641;"1";1,10479350188766;"0";0,333333333333333;"0";"NaN";"0";"NaN"
2015-12-29;106,959897508918;105,066116;109,429540670913;106,860377459746;-4,15346494101307;1;"1";"1";"1";"1";"1";1,0780082452976;"1";1,08363911072739;"0";0,166666666666667;"0";"NaN";"1";"NaN"
2015-12-30;108,580252164918;103,694107;108,700062724627;107,180207801864;-16,4938494328801;0;"0";"0";"1";"0";"0";1,02917022534656;"0";0,969068976183112;"0";0,166666666666667;"0";"NaN";"0";"NaN"
2015-12-31;107,010142847461;101,703697;107,030433343342;104,819735506418;-29,4789157450592;0;"0";"0";"0";"0";"0";0,9326203910248;"0";0,914834280810898;"0";0;"0";"NaN";"0";"NaN"
2016-01-04;102,610000452985;101,790649;105,370474014579;102,000319382854;-1,94150492439426;1;"1";"1";"1";"1";"1";1,23431213595148;"1";1,22266283334986;"1";0,166666666666667;"1";"NaN";"1";"NaN"
2016-01-05;105,750196293547;99,239845;105,84971634159;102,409994292717;-25,5614290155337;0;"0";"1";"1";"1";"1";1,2359204258896;"1";1,16436427628685;"1";0,5;"1";"0";"1";"NaN"
2016-01-06;100,559701801779;97,29776;102,370387081541;99,8698249129044;-20,7757976496738;0;"0";"1";"1";"1";"1";1,16759185831351;"0";1,02411314630188;"0";0,5;"0";"0";"0";"NaN"
2016-01-07;98,6804026679026;93,191338;100,129723677213;96,4300902474471;-20,4727289097584;0;"0";"1";"1";"1";"1";1,10954986934872;"0";1,01305424262885;"1";0,833333333333333;"1";"1";"1";"NaN"
2016-01-08;98,5499752688735;93,68412;99,1103794578216;96,7595805065963;-20,9771901355496;1;"1";"1";"1";"1";"1";1,06231655001129;"0";1,03611539308522;"0";1;"0";"0";"0";"NaN"
2016-01-11;98,9702751185758;95,201073;99,0601330286424;97,3402719542502;-9,45437851148344;1;"1";"0";"0";"1";"0";0,976888412974613;"0";0,967022451232978;"0";1;"0";"0";"0";"0"
2016-01-12;100,550031877211;96,582756;100,690132915227;98,8398329993581;1,1744015906805;1;"0";"1";"0";"1";"1";0,979003797185615;"1";0,976386723100913;"1";1;"1";"1";"1";"1"
2016-01-13;100,320081591047;94,099594;101,189674315861;97,299696193528;-17,9276521047399;0;"0";"0";"0";"0";"0";0,966416737754232;"0";0,988367643682559;"1";1;"1";"1";"1";"1"
2016-01-14;97,9595998890555;96,157608;100,480452047763;95,7402064783422;3,04910023954492;1;"0";"1";"1";"1";"1";1,05802501996274;"1";1,06330806954971;"0";1;"0";"0";"0";"0"
2016-01-15;96,200141027205;93,848373;97,7103336713889;95,3595347569299;-10,7403064800997;0;"1";"0";"0";"0";"0";0,98211470018471;"0";0,973576479344994;"1";1,16666666666667;"1";"1";"1";"1"
2016-01-19;98,4098704331421;93,394257;98,6504577394803;95,4996336191234;-13,9678530978925;0;"0";"1";"1";"1";"1";1,08085518212212;"1";1,04970093990316;"0";1;"0";"0";"0";"NaN"
2016-01-20;95,0996261429422;93,519867;98,1895789436039;93,4203459779797;0,651327663139744;1;"1";"0";"0";"0";"0";0,998386182230558;"0";0,991481374530754;"0";1,16666666666667;"1";"1";"1";"NaN"
2016-01-21;97,060067311919;93,046417;97,8803830499465;94,9401936614685;-2,74743995348149;0;"1";"0";"1";"0";"0";0,951211027525329;"0";0,946491670873296;"1";1,33333333333333;"1";"1";"1";"0"
2016-01-22;98,6301599652664;97,993423;101,46020080166;98,370248396475;36,7925074902343;1;"1";"0";"0";"0";"0";0,929292478113275;"0";0,95188348330029;"1";1,5;"1";"0";"1";"1"
2016-01-25;101,520104882339;96,080322;101,52976702233;99,2098872105614;21,4007302397871;0;"0";"1";"0";"1";"1";0,988786044855821;"1";1,0271186440678;"0";1,66666666666667;"0";"0";"0";"0"
2016-01-26;99,9297209482893;96,61174;100,880475564366;98,0697589198872;35,6578700040884;1;"0";"1";"1";"1";"1";1,03011666817401;"1";1,03852290859357;"1";1,5;"1";"1";"1";"1"
2016-01-27;96,0397551876419;90,263725;96,6301120400902;93,3401528214548;-37,564990804159;0;"0";"1";"1";"1";"1";1,07309208169115;"1";1,042343387471;"0";1,5;"0";"0";"0";"0"
2016-01-28;93,7904090790906;90,911087;94,5199007743076;92,3903647527735;-16,1857166272357;1;"1";"0";"1";"0";"0";0,999420625724218;"0";0,972674040338321;"0";1,33333333333333;"0";"0";"0";"NaN"
2016-01-29;94,7904275992574;94,05127;97,3402664294336;94,3498340007123;18,173018302948;1;"1";"0";"0";"0";"0";0,884485476244089;"0";0,892389246497539;"0";1;"0";"NaN";"0";"NaN"
2016-02-01;96,4697168060147;93,172028;96,7103041229493;95,4001177704864;8,55267362320016;0;"0";"1";"1";"1";"1";1,10247970155804;"1";1,12167894619335;"1";0,833333333333333;"1";"NaN";"1";"1"
2016-02-02;95,4204047587721;91,28791;96,0397479896354;94,2802721340938;-12,0626570563137;0;"0";"0";"1";"0";"0";0,990277594474506;"0";1,00386502155493;"0";0,833333333333333;"0";"0";"0";"0"
